"treatment" "trial_name" "Distance moved Center-point Total cm" "In zone External zone / Center-point Frequency" "In zone External zone / Center-point Cumulative Duration s" "In zone External zone / Center-point Latency to First s" "In zone External zone / Center-point Cumulative Duration %" "In zone 2 Transition zone / Center-point Frequency" "In zone 2 Transition zone / Center-point Cumulative Duration s" "In zone 2 Transition zone / Center-point Latency to First s" "In zone 2 Transition zone / Center-point Cumulative Duration %" "In zone 3 Center zone / Center-point Frequency" "In zone 3 Center zone / Center-point Cumulative Duration s" "In zone 3 Center zone / Center-point Latency to First s" "In zone 3 Center zone / Center-point Cumulative Duration %" "Acceleration Center-point Minimum cm/s²" "Acceleration Center-point Mean cm/s²" "Acceleration Center-point Maximum cm/s²" "Acceleration Center-point Variance (cm/s²)²" "Turn angle Center-point / relative Minimum deg" "Turn angle Center-point / relative Mean deg" "Turn angle Center-point / relative Maximum deg" "Turn angle Center-point / relative Variance deg²" "Head direction Head direction line Mean deg" "Head direction Head direction line Standard Deviation deg" "Head direction Head direction line Variance deg²" "Mobility Body fill Minimum %" "Mobility Body fill Mean %" "Mobility Body fill Maximum %" "Mobility Body fill Variance %²" "Body angle Minimum deg" "Body angle Mean deg" "Body angle Maximum deg" "Body angle Variance deg²" "ID"
"Amont" 112 2893.01 25 274.338 "0" 91.4252 30 22.3327 "6.79475" 7.44256 6 3.39737 "94.5769" 1.1322 -243.064 -0.0122792 220.792 994.28 -179.929 0.471488 179.905 3558.75 138.881 97.2189 2504.67 0.467836 20.496 82.4958 164.068 -73.4055 0.870096 76.7726 140.018 123
"Amont" 113 152.772 1 2.44817 "297.627" 0.815851 1 0.049963 "297.577" 0.0166501 1 297.277 "0.299775" 99.0676 -1037.6 0.0208566 1723.79 860.883 -179.997 -0.221412 179.923 8185.34 -85.0545 9.04856 40.684 0.166852 1.08635 100 10.7904 -20.8861 -3.0962 60.0349 7.6769 124
"Amont" 114 453.321 13 285.893 "0" 95.2714 14 13.3903 "0.849384" 4.4622 1 0.799421 "298.833" 0.2664 -186.476 0.017673 150.783 149.694 -179.965 2.42683 179.995 8858.55 64.0288 28.4136 379.836 0.479616 3.56524 69.2624 50.3132 -56.8357 2.64928 62.2209 40.3587 125
"Amont" 115 75.8535 0 0 "-" 0 0 0 "-" 0 1 300.093 "0" 100 -26.796 -0.000657299 52.0887 25.5918 -179.997 -10.048 179.941 9729.77 172.651 4.02262 8.08077 0.187517 0.766784 16.4259 0.302445 -13.1886 2.91889 13.5796 33.394 126
"Amont" 116 3976.85 64 219.888 "0.399705" 73.2767 86 61.105 "1.59882" 20.363 23 18.6862 "3.29757" 6.22711 -511.174 0.0232963 392.948 1950.39 -177.995 -0.283262 179.627 349.751 150.013 136.375 3089.59 2.88582 26.5587 100 121.482 -169.746 -1.82419 74.2338 302.209 127
"Amont" 127 1314.23 2 274.985 "22.4783" 91.6431 3 1.3487 "22.2286" 0.449475 2 23.6772 "0.049951" 7.89079 -146.02 0.0302134 222.748 655.525 -179.874 -2.25622 179.997 6146.09 -51.1925 83.5216 2148.28 0.649819 13.1802 77.0677 142.814 -62.1134 5.39177 75.6421 133.55 138
"Amont" 128 2636.18 21 270.193 "0.099904" 90.0449 27 20.7802 "56.3463" 6.92525 7 8.99143 "164.793" 2.9965 -393.939 -0.0695758 609.128 1301.99 -169.244 0.264971 168.472 275.268 98.1824 158.865 3212.53 3.59915 23.6415 100 94.2144 -64.0908 -0.197576 65.6314 110.349 139
"Amont" 129 2281.05 1 299.957 "0.099902" 99.9667 0 0 "-" 0 0 0 "-" 0 -366.489 -0.0831216 542.073 1266.62 -179.508 -0.617556 178.767 726.109 56.5355 172.349 3247.21 2.45376 21.6279 72.3944 99.2123 -173.27 0.061475 80.1466 356.366 140
"Amont" 130 1041.8 18 65.1379 "211.299" 21.708 21 19.6313 "210.849" 6.54237 4 215.295 "0" 71.7496 -164.222 0.0338371 201.745 316.515 -179.995 -6.00609 179.956 10462.9 73.5216 50.3054 1050 0.306279 9.23535 84.0514 157.629 -57.586 -0.217617 53.3745 55.0072 141
"Amont" 131 2191.81 14 182.93 "109.448" 60.9622 15 7.79276 "108.999" 2.59697 2 109.348 "0" 36.4408 -213.846 -0.00540093 278.396 1173.54 -179.993 -0.61289 179.974 5658.82 37.5181 87.9558 2272.35 0 21.7242 89.1897 268.505 -72.3566 -3.3981 69.7699 164.975 142
"Amont" 132 336.059 9 260.976 "0" 86.9652 11 34.7702 "234.999" 11.5865 3 4.34627 "237.047" 1.44831 -140.692 -0.0117504 141.198 252.266 -179.994 4.45691 179.993 12997.7 -44.0669 40.1447 714.522 0 5.77839 68.32 63.3764 -36.2293 0.114688 42.1271 30.1147 143
"Amont" 133 1146.36 57 189.887 "80.1813" 63.2762 62 26.5273 "79.6817" 8.83969 6 83.2787 "0.399657" 27.751 -305.238 0.0309338 856.581 808.698 -179.982 1.96199 179.979 10675.1 -119.823 57.9973 1316.06 0 12.929 99.776 255.393 -60.9882 3.82595 67.4834 100.98 144
"Amont" 134 2696.23 5 271.034 "21.0332" 90.3263 8 3.49721 "20.6835" 1.1655 4 25.3798 "0.14988" 8.45821 -285.244 0.0365443 387.829 1129.03 -179.868 -0.688901 178.717 1032.78 -75.4807 136.26 3088.67 0.910364 18.3241 69.5353 70.4387 -82.6775 -1.23124 74.9882 301.977 145
"Amont" 135 2338.13 14 236.817 "43.6163" 78.9211 20 14.5887 "42.9168" 4.8618 7 48.1128 "0.549575" 16.034 -420.861 -0.00560412 403.587 1125.5 -179.822 0.15587 179.78 1622.18 143.524 109.39 2752.25 0.403078 19.5447 81.4461 158.948 -80.2853 -0.562701 80.4136 316.414 146
"Amont" 136 2324.69 23 229.77 "24.0811" 76.5734 35 29.277 "23.7813" 9.75691 13 40.5682 "0.449647" 13.5198 -485.333 0.0212388 465.295 1322.01 -179.929 -0.276246 179.989 2588.84 78.1508 92.577 2392.92 0.462963 17.0481 87.1036 172.819 -76.0162 -5.40512 75.3581 292.1 147
"Amont" 138 1836.91 30 136.968 "117.636" 45.6467 40 35.1661 "114.44" 11.7197 11 127.927 "0" 42.6336 -182.38 0.028712 250.668 676.404 -179.996 0.223309 179.926 5657.07 79.1451 81.0391 2075.45 0.15528 15.4944 82.8136 187.969 -64.8191 -2.19641 66.2693 117.816 151
"Amont" 139 3570.17 63 201.056 "18.8818" 67.0052 86 64.238 "18.3823" 21.4084 24 34.3169 "0.449566" 11.4367 -228.543 0.0290896 292.222 1559.97 -179.496 0.144437 179.891 818.1 -87.1219 140.374 3119.57 0.618557 24.8205 78.6894 111.633 -68.4012 0.168973 74.6768 185.575 152
"Amont" 140 2589.55 9 293.278 "0" 97.736 8 6.79369 "1.14893" 2.26402 0 0 "-" 0 -829.724 -0.097544 1086.37 1311.84 -178.64 0.600356 179.849 354.751 3.86024 150.315 3177.69 3.875 22.6388 100 96.0537 -118.296 0.253969 71.2881 195.581 153
