"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"122" "Amont" 1069.42 1.34873 96.5873 1.09896 2.81338 0.549359 1722.09 95.0122 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 7.137 90.809
"123" "Amont" 2893.01 0 91.4252 6.79475 7.44256 1.1322 994.28 164.068 1036701.37648064 467023.42321454 615832.439207816 86.1682133897288 8253.08998008767 11894.915287013 "Cauterets" "Cauterets.Amont" 2.754 66.232
"124" "Amont" 152.772 297.627 0.815851 297.577 0.0166501 99.0676 860.883 10.7904 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 7.275 92.264
"125" "Amont" 453.321 0 95.2714 0.849384 4.4622 0.2664 149.694 50.3132 1058632.51594764 693134.933267435 373505.462228311 33.407229724369 2657.76344741076 1586.88934321972 "Cauterets" "Cauterets.Amont" 5.443 83.491
"126" "Amont" 75.8535 NA 0 NA 0 100 25.5918 0.302445 1046620.64728258 48047.8208379763 1014310.74280596 8.99102678154572 4.29906552358488 7135.42224825462 "Lees Athas" "Lees Athas.Amont" 7.916 95.586
"127" "Amont" 3976.85 0.399705 73.2767 1.59882 20.363 6.22711 1950.39 121.482 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 4.8 77.219
"138" "Amont" 1314.23 22.4783 91.6431 22.2286 0.449475 7.89079 655.525 142.814 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.696 58.457
"139" "Amont" 2636.18 0.099904 90.0449 56.3463 6.92525 2.9965 1301.99 94.2144 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 2.472 63.892
"140" "Amont" 2281.05 0.099902 99.9667 NA 0 0 1266.62 99.2123 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 4.564 76.662
"141" "Amont" 1041.8 211.299 21.708 210.849 6.54237 71.7496 316.515 157.629 1054166.22455003 592776.47717225 493319.265523892 34.7082370186456 5752.26815545804 4850.33513855595 "Cauterets" "Cauterets.Amont" 2.298 63.474
"142" "Amont" 2191.81 109.448 60.9622 108.999 2.59697 36.4408 1173.54 268.505 1025874.66057396 622685.855799575 475924.358387336 91.4996312219873 11559.4397597928 8117.12062616563 "Cauterets" "Cauterets.Amont" 2.13 62.199
"143" "Amont" 336.059 0 86.9652 234.999 11.5865 1.44831 252.266 63.3764 1058418.58201214 756556.120037626 330605.419381251 15.6670003928517 6878.71013978464 2562.96730649245 "Cauterets" "Cauterets.Amont" 0.786 46.786
"144" "Amont" 1146.36 80.1813 63.2762 79.6817 8.83969 27.751 808.698 255.393 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 1.36 55.774
"145" "Amont" 2696.23 21.0332 90.3263 20.6835 1.1655 8.45821 1129.03 70.4387 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 6.172 88.274
"146" "Amont" 2338.13 43.6163 78.9211 42.9168 4.8618 16.034 1125.5 158.948 NA NA NA NA NA NA "Cauterets" "Cauterets.Amont" 5.345 82.906
"147" "Amont" 2324.69 24.0811 76.5734 23.7813 9.75691 13.5198 1322.01 172.819 NA NA NA NA NA NA "Lees Athas" "Lees Athas.Amont" 6.537 89.079
"151" "Amont" 1836.91 117.636 45.6467 114.44 11.7197 42.6336 676.404 187.969 1039407.80956411 554428.391921285 539894.864615907 74.0904022499004 9188.10843947209 9026.81760295077 "Cauterets" "Cauterets.Amont" 2.085 62.571
