"poisson" "fs" "frame" "pts" "X" "Y" "angle"
2 "002_fs1" 3 21 105.611542991169 19.9006714264971 147.981209509387
2 "002_fs1" 3 22 104.794554231886 20.4214918448212 147.981209509387
2 "002_fs1" 3 23 103.972027136399 20.929136697522 147.981209509387
2 "002_fs1" 3 24 103.144012489385 21.4232898628323 147.981209509387
2 "002_fs1" 3 25 102.310561075521 21.9036352189854 147.981209509387
2 "002_fs1" 3 26 101.471723679484 22.3698566442143 147.981209509387
2 "002_fs1" 3 27 100.627551085951 22.8216380167522 147.981209509387
2 "002_fs1" 3 28 99.778094079599 23.258663214832 147.981209509387
2 "002_fs1" 3 29 98.9234034451046 23.6806161166869 147.981209509387
2 "002_fs1" 3 30 98.0635299671447 24.0871806005501 147.981209509387
2 "002_fs1" 3 31 97.1958474547276 24.4780405446544 147.981209509387
2 "002_fs1" 3 32 96.309903979577 24.8528798272331 147.981209509387
2 "002_fs1" 3 33 95.4057521169019 25.2113823265192 147.981209509387
2 "002_fs1" 3 34 94.4846725410362 25.5532319207458 147.981209509387
2 "002_fs1" 3 35 93.5479459263135 25.878112488146 147.981209509387
2 "002_fs1" 3 36 92.5968529470677 26.1857079069529 147.981209509387
2 "002_fs1" 3 37 91.6326742776326 26.4757020553996 147.981209509387
2 "002_fs1" 3 38 90.6566905923419 26.7477788117191 147.981209509387
2 "002_fs1" 3 39 89.6701825655295 27.0016220541445 147.981209509387
2 "002_fs1" 3 40 88.6744308715291 27.236915660909 147.981209509387
2 "002_fs1" 4 1 128.351648351649 -3.2776040662965 148.342772362652
2 "002_fs1" 4 2 127.585140080259 -2.91922277579869 148.342772362652
2 "002_fs1" 4 3 126.817608633098 -2.54808232562348 148.342772362652
2 "002_fs1" 4 4 126.049024235073 -2.16466649188141 148.342772362652
2 "002_fs1" 4 5 125.27935711109 -1.76945905068285 148.342772362652
2 "002_fs1" 4 6 124.508577486056 -1.36294377813829 148.342772362652
2 "002_fs1" 4 7 123.736655584878 -0.945604450358218 148.342772362652
2 "002_fs1" 4 8 122.963561632463 -0.517924843453073 148.342772362652
