"treatment" "poisson" "fs" "frame" "ratio"
"amont" "21" "021_fs2" "9" -39.9996639128474
"amont" "21" "021_fs2" "10" -38.7212588718087
"amont" "21" "021_fs3" "1" 28.9584445898541
"amont" "21" "021_fs3" "2" 38.8021849644762
"amont" "21" "021_fs3" "3" 162.23690014124
"amont" "21" "021_fs3" "4" -163.414989394575
"amont" "21" "021_fs3" "5" 163.488929023447
"amont" "21" "021_fs3" "6" 70.7660171849626
"amont" "21" "021_fs3" "7" -16.1376565101532
"amont" "21" "021_fs3" "8" -0.803043669887757
"amont" "21" "021_fs3" "9" 54.4237978200028
"amont" "21" "021_fs3" "10" 87.7256784609636
"amont" "21" "021_fs3" "11" 106.988198413321
"amont" "22" "022_fs1" "1" 24.7197195500448
"amont" "22" "022_fs1" "2" 34.5125159164485
"amont" "22" "022_fs1" "3" 95.8197289012954
"amont" "22" "022_fs1" "4" 111.315156102035
"amont" "22" "022_fs1" "5" 141.355242738759
"amont" "22" "022_fs1" "6" 112.696544386283
"amont" "22" "022_fs1" "7" 63.0549918739772
"amont" "22" "022_fs1" "8" 10.7568669085254
"amont" "22" "022_fs1" "9" -6.98520746719953
"amont" "22" "022_fs1" "10" -37.3157910896329
"amont" "22" "022_fs1" "11" -48.4552097000739
"amont" "22" "022_fs1" "12" -60.43003095196
"amont" "22" "022_fs2" "1" 33.7788585923091
"amont" "22" "022_fs2" "2" 7.27192611120614
"amont" "22" "022_fs2" "3" -53.1142600060974
"amont" "22" "022_fs2" "4" -126.523466579255
"amont" "22" "022_fs2" "5" -139.440646190712
"amont" "22" "022_fs2" "6" -72.0514975866412
"amont" "22" "022_fs2" "7" 2.98623868451241
"amont" "22" "022_fs2" "8" 29.9006555706906
"amont" "22" "022_fs2" "9" 51.3736462828165
"amont" "22" "022_fs2" "10" 18.1678996562725
"amont" "22" "022_fs2" "11" -4.06076398742999
"amont" "22" "022_fs3" "1" 18.0506012727853
"amont" "22" "022_fs3" "2" -14.2390835851323
"amont" "22" "022_fs3" "3" -64.6106380349799
"amont" "22" "022_fs3" "4" -121.066795974467
"amont" "22" "022_fs3" "5" -114.676095431632
"amont" "22" "022_fs3" "6" -43.9920656587839
"amont" "22" "022_fs3" "7" 47.1484940412444
"amont" "22" "022_fs3" "8" 116.981316844719
"amont" "22" "022_fs3" "9" 130.881493992851
"amont" "22" "022_fs3" "10" 134.748828661233
"amont" "22" "022_fs3" "11" 135.711918026225
"amont" "22" "022_fs3" "12" 126.230734418767
"amont" "22" "022_fs3" "13" 115.636452429352
"amont" "22" "022_fs4" "1" 28.2109268992455
"amont" "22" "022_fs4" "2" 2.8647173467408
"amont" "22" "022_fs4" "3" -28.4961173314718
"amont" "22" "022_fs4" "4" -62.0493079129713
"amont" "22" "022_fs4" "5" -67.9376709519164
"amont" "22" "022_fs4" "6" -35.0290880084352
"amont" "22" "022_fs4" "7" 9.23872625497404
"amont" "22" "022_fs4" "8" 52.1417079770501
"amont" "22" "022_fs4" "9" 88.2430129018373
"amont" "22" "022_fs4" "10" 103.076639521172
"amont" "22" "022_fs4" "11" 97.4765859060919
"amont" "22" "022_fs4" "12" 99.7890779268791
"amont" "22" "022_fs4" "13" 101.876098724745
"amont" "23" "023_fs1" "1" -16.6351246926948
"amont" "23" "023_fs1" "2" 28.1563703899695
"amont" "23" "023_fs1" "3" 110.343360213104
"amont" "23" "023_fs1" "4" 151.354672760429
"amont" "23" "023_fs1" "5" 95.4160520968484
"amont" "23" "023_fs1" "6" 50.6658205646273
"amont" "23" "023_fs1" "7" -12.2768172631066
"amont" "23" "023_fs1" "8" -35.5199978182944
"amont" "23" "023_fs1" "9" -25.8094502036559
"amont" "23" "023_fs1" "10" 0.412039845634013
"amont" "23" "023_fs1" "11" 62.7007571713879
"amont" "23" "023_fs1" "12" 88.309272257205
"amont" "23" "023_fs1" "13" 100.105067578286
"amont" "23" "023_fs2" "1" 27.0909982320873
"amont" "23" "023_fs2" "2" 19.6051106914637
"amont" "23" "023_fs2" "3" 83.8423764551338
"amont" "23" "023_fs2" "4" 150.695166252733
"amont" "23" "023_fs2" "5" 168.119965511225
"amont" "23" "023_fs2" "6" 132.980080649
"amont" "23" "023_fs2" "7" 60.5715592447534
"amont" "23" "023_fs2" "8" -10.7053116299178
"amont" "23" "023_fs2" "9" -37.4728119278409
"amont" "23" "023_fs2" "10" -16.965283860269
"amont" "23" "023_fs2" "11" -3.13426503223371
"amont" "23" "023_fs2" "12" 5.92754592777931
"amont" "23" "023_fs2" "13" 19.0856167971139
"amont" "23" "023_fs3" "1" 46.7056598340357
"amont" "23" "023_fs3" "2" 45.9017464200869
"amont" "23" "023_fs3" "3" 85.9369246748498
"amont" "23" "023_fs3" "4" 138.870955076354
"amont" "23" "023_fs3" "5" 159.541081504283
"amont" "23" "023_fs3" "6" 122.031416301333
"amont" "23" "023_fs3" "7" 34.4754788077244
"amont" "23" "023_fs3" "8" 3.90653339536988
"amont" "23" "023_fs3" "9" -25.4143887376026
"amont" "23" "023_fs3" "10" -26.2023038532469
"amont" "23" "023_fs3" "11" -35.008174961743
"amont" "23" "023_fs3" "12" -33.3011530067106
"amont" "23" "023_fs4" "1" -26.2311391257969
"amont" "23" "023_fs4" "2" -5.6183158825846
"amont" "23" "023_fs4" "3" 83.6895822680532
"amont" "23" "023_fs4" "4" 127.198700254361
"amont" "23" "023_fs4" "5" 75.6894691352701
"amont" "23" "023_fs4" "6" 24.0289487262468
"amont" "23" "023_fs4" "7" -26.290814218335
"amont" "23" "023_fs4" "8" -49.5924298484672
"amont" "23" "023_fs4" "9" -63.8208893110659
"amont" "23" "023_fs4" "10" -54.95725833731
"amont" "23" "023_fs4" "11" -49.1183803587301
"amont" "23" "023_fs4" "12" -35.5026150287964
"amont" "23" "023_fs4" "13" -27.0654110034808
"amont" "24" "024_fs1" "1" 45.3407885941959
"amont" "24" "024_fs1" "2" 10.5862248392895
"amont" "24" "024_fs1" "3" -114.715180648512
"amont" "24" "024_fs1" "4" -136.208580920763
"amont" "24" "024_fs1" "5" -91.4074283055564
"amont" "24" "024_fs1" "6" -19.3149061534171
"amont" "24" "024_fs1" "7" 10.5407910863898
"amont" "24" "024_fs1" "8" 37.9614830568151
"amont" "24" "024_fs1" "9" 53.063141219674
"amont" "24" "024_fs1" "10" 78.5511930206446
"amont" "24" "024_fs1" "11" 117.853046869518
