"traitement" "poisson" "fs" "time" "d_cum_cm" "d_tot_cm" "efficiency"
"amont" 199 "199_fs1" 0.0747 7.0765782997489 6.22231969586602 0.879283663983032
"amont" 199 "199_fs2" 0.083 7.82934843722752 5.16973622918059 0.660302229569855
"amont" 199 "199_fs3" 0.0747 8.52888405481573 7.42974933714762 0.87112795641213
"amont" 200 "200_fs1" 0.1245 13.2210121819005 9.61888546044721 0.72754531408839
"amont" 200 "200_fs2" 0.1328 6.26240819769556 4.9956743277091 0.797724161377312
"amont" 200 "200_fs3" 0.1079 7.48308414085915 4.97065439294327 0.664252105064875
"amont" 201 "201_fs1" 0.1079 13.9108542322489 8.81600474373545 0.633750062832064
"amont" 201 "201_fs2" 0.0996 4.67472657702022 2.77267584205665 0.593120430975883
"amont" 201 "201_fs3" 0.0996 5.15023548698222 4.0634821155401 0.788989576459366
"amont" 202 "202_fs1" 0.1079 8.21609956312002 6.34421994617467 0.772169311902239
"amont" 202 "202_fs2" 0.0996 5.43958683028632 4.3415498469571 0.798139634941461
"amont" 202 "202_fs3" 0.1079 8.04493572599575 6.01083949225438 0.747158174655323
"amont" 203 "203_fs1" 0.1079 6.59239383022355 3.75368552024813 0.56939643123852
"amont" 203 "203_fs2" 0.1079 8.68708310737825 6.28459093677916 0.723440867215997
"amont" 203 "203_fs3" 0.0913 4.78117746977199 3.1775903787725 0.664604148007924
"amont" 204 "204_fs1" 0.1079 10.4816474359534 7.14848753218524 0.682000379793828
"amont" 204 "204_fs2" 0.1079 9.3088572018032 6.04435386853806 0.649312126881399
"amont" 206 "206_fs1" 0.0913 6.10005662760628 5.24079027262118 0.85913797076958
"amont" 206 "206_fs2" 0.0996 10.9022029550086 9.25065087012672 0.848512076715366
"amont" 206 "206_fs3" 0.0996 7.2219135114994 4.69853702964985 0.650594475019453
"amont" 207 "207_fs1" 0.0664 4.51837960671121 3.43488707706414 0.760203297651719
"amont" 207 "207_fs2" 0.0996 9.54790403766309 8.05034995709977 0.843153630927165
"amont" 207 "207_fs3" 0.1079 5.87706197682593 3.93036202074074 0.668763071793133
"amont" 208 "208_fs1" 0.0747 5.5251253010539 4.66168294228405 0.843724384204436
"amont" 208 "208_fs2" 0.0913 4.74813281675659 3.67562055517849 0.774119153155721
"amont" 208 "208_fs3" 0.1245 10.2019920458641 5.05867660981673 0.495851848058197
"amont" 209 "209_fs1" 0.1494 8.91911636511412 5.71929069329704 0.641239609303366
"amont" 209 "209_fs2" 0.1079 7.10242924188652 5.65750340935105 0.796558926062364
