"poisson" "fs" "frame" "pts" "X" "Y" "angle" "seg" "angle_diff" "angle_cum_diff" "traitement"
11 "011_fs1" 9 120 11.1413547858315 -19.8191331932636 71.5702857859604 "segment_06_pts_120-139" 20.077916477925 231.176149404777 "aval"
11 "011_fs1" 9 140 13.8970437440673 -11.596537474399 67.4014469272171 "segment_07_pts_140-156" 35.0172331249375 224.096510332681 "aval"
11 "011_fs1" 9 157 16.7981962891528 -4.69344384115311 59.233273545385 "segment_08_pts_157-170" 38.78003792616 229.721109904583 "aval"
11 "011_fs1" 9 171 19.8987900556799 0.428277631662809 47.0471330654337 "segment_09_pts_171-179" 34.391373680382 218.210801895347 "aval"
11 "011_fs1" 9 180 22.5214409728645 3.17065139333874 35.7911315116513 "segment_10_pts_180-185" 28.0788277461457 208.986540757023 "aval"
11 "011_fs1" 9 186 24.6595584510875 4.67085089880828 27.7955315624981 "segment_11_pts_186-190" 23.4630446748514 208.241368588874 "aval"
11 "011_fs1" 9 191 26.6402777057381 5.68309640453288 16.8781910513476 "segment_12_pts_191-200" 16.7786181423969 208.545576813398 "aval"
11 "011_fs2" 9 1 0 -54.941889690703 63.2594547387713 "segment_01_pts_1-27" -4.42027148424317 112.451443502392 "aval"
11 "011_fs2" 9 28 5.04339314892903 -44.9397137329185 62.5209481960878 "segment_02_pts_28-53" -3.49402681102572 119.779802352869 "aval"
11 "011_fs2" 9 54 9.87997771092284 -35.6421552857446 62.399789111477 "segment_03_pts_54-76" -2.44785473278043 112.264992418225 "aval"
11 "011_fs2" 9 77 14.1642337616718 -27.4456231081673 63.0108539502393 "segment_04_pts_77-98" -0.133686015148676 110.994608379266 "aval"
11 "011_fs2" 9 99 18.2411268233831 -19.4291472312179 65.118059340889 "segment_05_pts_99-119" 5.34122598589751 121.253005738387 "aval"
11 "011_fs2" 9 120 21.9195238498924 -11.4592433158429 67.9397941606913 "segment_06_pts_120-139" 12.5542137391794 183.630214556468 "aval"
11 "011_fs2" 9 140 25.0363863649139 -3.78324235341748 64.3785629725911 "segment_07_pts_140-156" 16.2115940084608 180.987879288684 "aval"
11 "011_fs2" 9 157 28.024020636179 2.3840039470019 55.5401681434496 "segment_08_pts_157-170" 16.9232753518923 168.427116971263 "aval"
11 "011_fs2" 9 171 31.2115320430109 6.95013049187901 45.0241106115109 "segment_09_pts_171-179" 15.5890456170006 148.776212358246 "aval"
11 "011_fs2" 9 180 33.840988774785 9.54133531708064 38.5793260230606 "segment_10_pts_180-185" 15.2168308635332 161.201133960382 "aval"
11 "011_fs2" 9 186 35.8080252504546 11.0877780758557 34.1831642424028 "segment_11_pts_186-190" 15.3501776608849 115.968616697729 "aval"
11 "011_fs2" 9 191 37.5484470987634 12.2526226088664 28.4007804822863 "segment_12_pts_191-200" 15.9179405836495 128.782112196503 "aval"
11 "011_fs3" 9 1 39.424969078623 68.6066964673315 -69.517216222304 "segment_01_pts_1-27" 2.67250698709373 115.500512756343 "aval"
11 "011_fs3" 9 28 43.5739483671798 57.4717019132177 -70.4452899278427 "segment_02_pts_28-53" -5.33134462462122 105.337788861447 "aval"
11 "011_fs3" 9 54 47.4199302635331 46.6653836603251 -74.2805964831297 "segment_03_pts_54-76" -9.77643400434864 114.023480142639 "aval"
11 "011_fs3" 9 77 50.099171623649 36.9141726574695 -87.8062195162466 "segment_04_pts_77-98" -4.40747039467793 109.432831204367 "aval"
11 "011_fs3" 9 99 50.457536517914 27.3366593977644 -90.4543615012798 "segment_05_pts_99-119" -6.43833396969437 112.465701462459 "aval"
11 "011_fs3" 9 120 50.3445114235688 18.0304609160374 -101.824311868393 "segment_06_pts_120-139" -14.3765758328714 126.477114858618 "aval"
11 "011_fs3" 9 140 48.4716155623315 9.28122316001475 -109.916908593689 "segment_07_pts_140-156" -18.2707554302817 124.987659682567 "aval"
11 "011_fs3" 9 157 45.9201461593969 2.2892873572589 -117.555157644649 "segment_08_pts_157-170" -17.0732244883648 173.783807886433 "aval"
11 "011_fs3" 9 171 43.1247895087846 -2.93548344605574 -130.347195842739 "segment_09_pts_171-179" -14.754121892164 241.600521611405 "aval"
11 "011_fs3" 9 180 40.5152776047179 -5.95524681123345 -137.244026054496 "segment_10_pts_180-185" -15.0101963370803 261.131404128149 "aval"
