"treatment" "poisson" "fs" "frame" "ratio_snout_tail" "ratio_ant_post"
"aval" "15" "015_fs2" 4 -89.1589872944583 -65.7001692394076
"aval" "15" "015_fs2" 5 -31.6254469324836 -5.41110556994988
"aval" "15" "015_fs2" 6 31.0872149846533 40.2904465468205
"aval" "15" "015_fs2" 7 69.3161686901793 38.5646824900829
"aval" "15" "015_fs2" 8 47.0661945203384 16.4729664150645
"aval" "15" "015_fs2" 9 26.145220537515 17.9046582181779
"aval" "15" "015_fs2" 10 73.7375230430155 61.6366598500336
"aval" "15" "015_fs2" 11 106.096165015586 79.0059931986866
"aval" "15" "015_fs2" 12 32.3819134249002 10.8738352709003
"aval" "16" "016_fs1" 1 -26.8050856304662 -21.8348630848332
"aval" "16" "016_fs1" 2 -16.8448593041065 -13.2020572335763
"aval" "16" "016_fs1" 3 40.4346058651745 36.4804298525393
"aval" "16" "016_fs1" 4 86.4250301826669 68.6629011822982
"aval" "16" "016_fs1" 5 72.7854530349797 46.7030312675274
"aval" "16" "016_fs1" 6 37.5082553724129 1.71526738057983
"aval" "16" "016_fs1" 7 7.57492732273653 -21.7092200366233
"aval" "16" "016_fs1" 8 -47.3954127310093 -49.4464229130785
"aval" "16" "016_fs1" 9 -71.0137546913388 -55.3577640788372
"aval" "16" "016_fs1" 10 -71.8451358107974 -53.3577369636466
"aval" "16" "016_fs1" 11 -74.2998921334045 -52.4835741112173
"aval" "16" "016_fs1" 12 -65.7623844890569 -47.9177657886255
"aval" "16" "016_fs2" 1 -35.0180773186928 -29.0513363544789
"aval" "16" "016_fs2" 2 -37.7368781427778 -27.2942885461967
"aval" "16" "016_fs2" 3 -2.56087525667738 -1.09905016494042
"aval" "16" "016_fs2" 4 55.0015186682637 52.22496801894
"aval" "16" "016_fs2" 5 101.849958782967 79.4255903056313
"aval" "16" "016_fs2" 6 82.5824948750067 46.6591341554414
"aval" "16" "016_fs2" 7 -0.442326282700833 -17.6995334460746
"aval" "16" "016_fs2" 8 -19.7794241045921 -40.422838738124
"aval" "16" "016_fs2" 9 -63.5253436622154 -63.6631532879437
"aval" "16" "016_fs2" 10 -104.35297613661 -79.6122632029837
"aval" "16" "016_fs2" 11 -105.836465769866 -79.648865329619
"aval" "16" "016_fs2" 12 -109.519401586326 -81.4292379762826
"aval" "16" "016_fs3" 1 -24.9272955190217 -18.8650541786223
"aval" "16" "016_fs3" 2 -33.4300715535607 -24.7437366848991
"aval" "16" "016_fs3" 3 -38.3745029348417 -37.8152071777793
"aval" "16" "016_fs3" 4 -67.8838310804584 -58.8417964690367
"aval" "16" "016_fs3" 5 -101.151616854372 -74.0475396928327
"aval" "16" "016_fs3" 6 -111.554141138072 -76.875463917475
"aval" "16" "016_fs3" 7 -111.766380172716 -70.1889444023306
"aval" "16" "016_fs3" 8 -104.800764179551 -60.8174493541159
"aval" "16" "016_fs3" 9 -91.82485057249 -51.3927163367292
"aval" "16" "016_fs3" 10 -69.4017061788688 -33.4265894280956
"aval" "16" "016_fs3" 11 -50.1582427141787 -25.6357636366054
"aval" "16" "016_fs3" 12 -47.7668798047736 -18.887521028874
"aval" "16" "016_fs3" 13 -30.3686554705198 -9.87891863013573
"aval" "16" "016_fs3" 14 -18.3416888411619 -4.14487766135895
"aval" "16" "016_fs3" 15 -10.7411825795824 1.82038081428246
"aval" "16" "016_fs3" 16 -4.93724801844047 3.16414630464664
"aval" "16" "016_fs3" 17 -3.14566259243401 6.75908294945134
"amont" "17" "017_fs1" 1 31.3670665000776 18.3807689652622
