"treatment" "poisson" "fs" "frame" "ratio"
"amont" "20" "020_fs2" "5" 33.6956291728136
"amont" "20" "020_fs2" "6" -8.2891816411173
"amont" "20" "020_fs2" "7" -28.0685230638478
"amont" "20" "020_fs2" "8" -39.5297053999971
"amont" "20" "020_fs3" "1" 0.0331542167855048
"amont" "20" "020_fs3" "2" -2.04975777142889
"amont" "20" "020_fs3" "3" -44.6107768982427
"amont" "20" "020_fs3" "4" -100.822220638884
"amont" "20" "020_fs3" "5" -133.111155599855
"amont" "20" "020_fs3" "6" -105.418447256223
"amont" "20" "020_fs3" "7" -73.4489631601382
"amont" "20" "020_fs3" "8" -32.6062951148436
"amont" "20" "020_fs3" "9" -19.4413204868739
"amont" "20" "020_fs3" "10" -20.2692968213657
"amont" "21" "021_fs1" "1" -16.6718039854194
"amont" "21" "021_fs1" "2" -12.4264683499563
"amont" "21" "021_fs1" "3" 48.4836129300803
"amont" "21" "021_fs1" "4" 73.7708751902163
"amont" "21" "021_fs1" "5" 23.8330400373805
"amont" "21" "021_fs1" "6" -32.7814461385475
"amont" "21" "021_fs1" "7" -58.6212833887382
"amont" "21" "021_fs1" "8" -65.6211577843073
"amont" "21" "021_fs1" "9" -68.6420074163348
"amont" "21" "021_fs1" "10" -67.7467645902958
"amont" "21" "021_fs1" "11" -57.5096038207902
"amont" "21" "021_fs1" "12" -52.423574922118
"amont" "21" "021_fs1" "13" -25.1070656035279
"amont" "21" "021_fs2" "1" 2.87937671314398
"amont" "21" "021_fs2" "2" -1.94934585498737
"amont" "21" "021_fs2" "3" -64.2060702339536
"amont" "21" "021_fs2" "4" -118.041689834019
"amont" "21" "021_fs2" "5" -126.284431830798
"amont" "21" "021_fs2" "6" -78.2121409090989
"amont" "21" "021_fs2" "7" -48.3539389947067
"amont" "21" "021_fs2" "8" -26.6694429590512
"amont" "21" "021_fs2" "9" -24.89924223406
"amont" "21" "021_fs2" "10" -29.8588774116386
"amont" "21" "021_fs3" "1" 10.0657291947013
"amont" "21" "021_fs3" "2" 34.0734502993647
"amont" "21" "021_fs3" "3" 111.166137074596
"amont" "21" "021_fs3" "4" 143.433324170505
"amont" "21" "021_fs3" "5" 106.917791699563
"amont" "21" "021_fs3" "6" 27.7979221531728
"amont" "21" "021_fs3" "7" -11.4561820241157
"amont" "21" "021_fs3" "8" 8.90610929089493
"amont" "21" "021_fs3" "9" 41.6565467328717
"amont" "21" "021_fs3" "10" 57.6199976080081
"amont" "21" "021_fs3" "11" 70.414178719595
"amont" "22" "022_fs1" "1" 19.0888979822671
"amont" "22" "022_fs1" "2" 26.9640804156166
"amont" "22" "022_fs1" "3" 75.6730976714257
