"traitement" "poisson" "fs" "time" "d_travelled_cm" "dt" "speed" "accel"
"aval" 174 "174_fs2" 99.6 0.56707182437241 8.29999999999998 0.0683219065508929 -0.000617830995761814
"aval" 174 "174_fs2" 107.9 0.702764134655376 8.3 0.0846703776693224 0.00196969531547344
"aval" 174 "174_fs2" 116.2 0.570788487461888 8.30000000000001 0.0687696972845647 -0.00191574462466959
"aval" 174 "174_fs2" 124.5 0.418467769025174 8.3 0.0504178034970089 -0.00221107154066937
"aval" 174 "174_fs3" 8.3 0 NA NA NA
"aval" 174 "174_fs3" 16.6 0.116864040808288 8.3 0.0140800049166612 NA
"aval" 174 "174_fs3" 24.9 0.508818356537229 8.3 0.0613034164502685 0.00568956765465149
"aval" 174 "174_fs3" 33.2 0.557945721711633 8.3 0.0672223761098353 0.000713127669827315
"aval" 174 "174_fs3" 41.5 1.2402047254515 8.3 0.149422256078493 0.00990359999622389
"aval" 174 "174_fs3" 49.8 0.549828554731584 8.3 0.0662444041845282 -0.010021427939032
"aval" 174 "174_fs3" 58.1 1.15301696339546 8.3 0.138917706433188 0.00875581954803134
"aval" 174 "174_fs3" 66.4 0.680263890458265 8.3 0.0819595048744897 -0.00686243392273477
"aval" 174 "174_fs3" 74.7 1.36405429676974 8.3 0.164343891177077 0.00992582967501052
"aval" 174 "174_fs3" 83 0.855982073156592 8.3 0.10313037025983 -0.00737512300207792
"aval" 174 "174_fs3" 91.3 0.724319074668344 8.30000000000001 0.0872673583937762 -0.00191120624892218
"aval" 174 "174_fs3" 99.6 0.742881201703208 8.29999999999998 0.0895037592413506 0.000269445885249921
"aval" 174 "174_fs3" 107.9 0.626698916326043 8.3 0.0755058935332582 -0.00168648984434848
"aval" 174 "174_fs3" 116.2 0.822631933393313 8.30000000000001 0.0991122811317243 0.00284414308415253
"aval" 174 "174_fs3" 124.5 0.60296985721809 8.3 0.0726469707491675 -0.00318859161235624
"aval" 175 "175_fs1" 8.3 0 NA NA NA
"aval" 175 "175_fs1" 16.6 0.543428886229706 8.3 0.0654733597867116 NA
"aval" 175 "175_fs1" 24.9 0.711271624306935 8.3 0.0856953764225224 0.00243638754648323
"aval" 175 "175_fs1" 33.2 0.928864833021735 8.3 0.111911425665269 0.00315856014972853
"aval" 175 "175_fs1" 41.5 1.66086855848393 8.3 0.200104645600474 0.0106256891488198
"aval" 175 "175_fs1" 49.8 0.999385915880433 8.3 0.120407941672341 -0.00960201252146171
"aval" 175 "175_fs1" 58.1 0.977750044551093 8.3 0.117801210186879 -0.000314064034393114
"aval" 175 "175_fs1" 66.4 1.61741560948814 8.3 0.194869350540739 0.00928531811492295
"aval" 175 "175_fs1" 74.7 0.30837023362693 8.3 0.0371530401960156 -0.0190019651017739
"aval" 175 "175_fs1" 83 0.900696752921753 8.3 0.10851768107491 0.00859814950348126
"aval" 175 "175_fs1" 91.3 1.03994949362375 8.30000000000001 0.125295119713705 0.00202137814925238
"aval" 175 "175_fs1" 99.6 0.864956645855334 8.29999999999998 0.104211644078956 -0.00254017778731912
"aval" 175 "175_fs1" 107.9 0.699166189240202 8.3 0.0842368902699038 -0.00240659684446414
"aval" 175 "175_fs1" 116.2 0.654908355816885 8.30000000000001 0.0789046211827571 -0.000642442058692372
"aval" 175 "175_fs1" 124.5 0.548387747557024 8.3 0.0660708129586776 -0.00154624195470838
"aval" 175 "175_fs2" 8.3 0 NA NA NA
"aval" 175 "175_fs2" 16.6 0.085162943187157 8.3 0.0102605955647177 NA
"aval" 175 "175_fs2" 24.9 0.556733380770316 8.3 0.0670763109361826 0.00684526691222469
"aval" 175 "175_fs2" 33.2 0.764312174589328 8.3 0.0920858041673888 0.00301319195556701
"aval" 175 "175_fs2" 41.5 0.159000597460087 8.3 0.0191566984891671 -0.00878663923833996
"aval" 175 "175_fs2" 49.8 1.74307172305993 8.3 0.210008641332522 0.0229942099811271
"aval" 175 "175_fs2" 58.1 0.974005603438351 8.3 0.117350072703416 -0.0111636829673622
"aval" 175 "175_fs2" 66.4 1.06084118048837 8.3 0.127812190420285 0.00126049611046623
"aval" 175 "175_fs2" 74.7 1.00414105522741 8.3 0.120980850027399 -0.000823053059383965
"aval" 175 "175_fs2" 83 0.758862420357281 8.3 0.0914292072719616 -0.00356043888619723
"aval" 175 "175_fs2" 91.3 0.659850263046211 8.30000000000001 0.0795000316923144 -0.001437250069837
"aval" 175 "175_fs2" 99.6 0.257423750538907 8.29999999999998 0.0310149097034828 -0.00584158096250985
"aval" 175 "175_fs3" 8.3 0 NA NA NA
"aval" 175 "175_fs3" 16.6 0.0657365814045472 8.3 0.00792007004874063 NA
"aval" 175 "175_fs3" 24.9 0.482036319224541 8.3 0.0580766649668122 0.00604296324314115
"aval" 175 "175_fs3" 33.2 0.250053205569084 8.3 0.030126892237239 -0.00336744249753894
"aval" 175 "175_fs3" 41.5 0.555910044765501 8.3 0.0669771138271688 0.00443978573372649
"aval" 175 "175_fs3" 49.8 0.723023765432064 8.3 0.0871112970400077 0.00242580520636613
"aval" 175 "175_fs3" 58.1 0.490880423144092 8.3 0.0591422196559147 -0.00336976835952928
"aval" 175 "175_fs3" 66.4 0.780954313680363 8.3 0.0940908811663087 0.00421068210968603
"aval" 175 "175_fs3" 74.7 0.173879950813969 8.3 0.0209493916643336 -0.00881222765084038
"aval" 175 "175_fs3" 83 0.27205999254056 8.3 0.0327783123542844 0.00142517116746395
"aval" 175 "175_fs3" 91.3 0.268803449842833 8.30000000000001 0.0323859578123894 -4.72716315536084e-05
"aval" 176 "176_fs1" 8.3 0 NA NA NA
"aval" 176 "176_fs1" 16.6 0.456624972126518 8.3 0.055015056882713 NA
"aval" 176 "176_fs1" 24.9 0.965211573209942 8.3 0.11629055098915 0.00738258965137792
"aval" 176 "176_fs1" 33.2 0.545953056372527 8.3 0.0657774766713888 -0.00608591256840492
"aval" 176 "176_fs1" 41.5 1.21440256801828 8.3 0.146313562411841 0.0097031428602954
"aval" 176 "176_fs1" 49.8 0.406707085607624 8.3 0.0490008536876655 -0.0117244227378524
"aval" 176 "176_fs1" 58.1 2.01644351941964 8.3 0.242945002339716 0.0233667648978374
"aval" 176 "176_fs1" 66.4 0.807052769790076 8.3 0.0972352734686838 -0.0175553890206063
"aval" 176 "176_fs1" 74.7 0.70099758542492 8.3 0.084457540412641 -0.00153948591036661
"aval" 176 "176_fs1" 83 0.610456550066036 8.3 0.073548981935667 -0.00131428415385229
"aval" 176 "176_fs1" 91.3 0.822414283164952 8.30000000000001 0.0990860582126447 0.00307675617794911
"aval" 176 "176_fs1" 99.6 0.85884176332774 8.29999999999998 0.103474911244306 0.000528777473694168
"aval" 176 "176_fs2" 8.3 0 NA NA NA
"aval" 176 "176_fs2" 16.6 0.371989865715154 8.3 0.0448180561102596 NA
"aval" 176 "176_fs2" 24.9 0.948555387902769 8.3 0.114283781675032 0.00836936452587625
"aval" 176 "176_fs2" 33.2 0.599075103357505 8.3 0.0721777232960849 -0.0050730190818009
"aval" 176 "176_fs2" 41.5 0.689994383315546 8.3 0.0831318534115116 0.00131977471270201
"aval" 176 "176_fs2" 49.8 0.377777231148251 8.3 0.0455153290540061 -0.00453211136837416
"aval" 176 "176_fs2" 58.1 0.69243658624121 8.3 0.0834260947278566 0.00456756212937958
"aval" 176 "176_fs2" 66.4 1.08050467642848 8.3 0.130181286316684 0.00563315561311177
"aval" 176 "176_fs2" 74.7 0.756982707132303 8.3 0.0912027357990727 -0.00469621090573634
"aval" 176 "176_fs2" 83 0.425544108425243 8.3 0.0512703745090654 -0.00481112786626595
"aval" 176 "176_fs2" 91.3 0.863630990420243 8.30000000000001 0.104051926556656 0.00635922313826388
"aval" 176 "176_fs2" 99.6 0.50181389817258 8.29999999999998 0.0604595058039255 -0.00525209888587112
"aval" 176 "176_fs2" 107.9 0.572066682963995 8.3 0.06892369674265 0.00101978204081018
"aval" 176 "176_fs2" 116.2 0.279261748105971 8.30000000000001 0.0336459937477073 -0.00425032566204128
"aval" 176 "176_fs3" 8.3 0 NA NA NA
"aval" 176 "176_fs3" 16.6 0.159920254707948 8.3 0.0192675005672226 NA
"aval" 176 "176_fs3" 24.9 0.794407213536124 8.3 0.0957117124742318 0.00921014601289268
"aval" 176 "176_fs3" 33.2 0.779939541843847 8.3 0.0939686194992586 -0.000210011201803997
"aval" 176 "176_fs3" 41.5 0.659092325371488 8.3 0.0794087139001793 -0.00175420549386498
"aval" 176 "176_fs3" 49.8 0.870802048764032 8.3 0.104915909489642 0.00307315609511604
"aval" 176 "176_fs3" 58.1 0.773017863936643 8.3 0.0931346824020052 -0.00141942495031774
"aval" 176 "176_fs3" 66.4 0.961560896393293 8.3 0.11585071040883 0.00273687084419581
"aval" 176 "176_fs3" 74.7 0.51630099392071 8.3 0.0622049390265916 -0.00646334594966733
"aval" 176 "176_fs3" 83 0.53825082235087 8.3 0.0648494966687795 0.000318621402673237
"aval" 176 "176_fs3" 91.3 0.647540432383428 8.30000000000001 0.0780169195642683 0.00158643649343238
"aval" 176 "176_fs3" 99.6 0.381280378764828 8.29999999999998 0.0459373950319071 -0.00386500295570617
"aval" 176 "176_fs3" 107.9 0.39304852403848 8.3 0.0473552438600579 0.000170825160018162
"aval" 176 "176_fs3" 116.2 0.650192232263988 8.30000000000001 0.0783364135257816 0.0037326710440631
"amont" 177 "177_fs1" 8.3 0 NA NA NA
"amont" 177 "177_fs1" 16.6 0.319920690189898 8.3 0.0385446614686624 NA
"amont" 177 "177_fs1" 24.9 0.601524449012816 8.3 0.072472825182267 0.00408773056790416
"amont" 177 "177_fs1" 33.2 0.716746271952108 8.3 0.0863549725243503 0.00167254787254016
"amont" 177 "177_fs1" 41.5 0.836661430560758 8.3 0.100802581995272 0.0017406758398701
"amont" 177 "177_fs1" 49.8 0.553992836996873 8.3 0.0667461249393823 -0.00410318759709516
"amont" 177 "177_fs1" 58.1 0.507037572253573 8.3 0.0610888641269365 -0.000681597688246479
"amont" 177 "177_fs1" 66.4 0.558588474573816 8.3 0.0672998162137128 0.000748307480334492
"amont" 177 "177_fs1" 74.7 0.421332710731937 8.3 0.050762977196619 -0.00199239024302335
"amont" 177 "177_fs1" 83 0.427825989436285 8.3 0.0515452999320825 9.42557512606724e-05
"amont" 177 "177_fs1" 91.3 0.271758994173075 8.30000000000001 0.0327420474907319 -0.00226545210136754
"amont" 177 "177_fs1" 99.6 0.272152486724346 8.29999999999998 0.032789456231849 5.71189652013553e-06
"amont" 177 "177_fs1" 107.9 0.267674060755483 8.3 0.03224988683801 -6.50083607034965e-05
"amont" 177 "177_fs2" 8.3 0 NA NA NA
"amont" 177 "177_fs2" 16.6 0.234104279544676 8.3 0.0282053348849007 NA
"amont" 177 "177_fs2" 24.9 0.259837814453667 8.3 0.0313057607775502 0.000373545288271026
"amont" 177 "177_fs2" 33.2 0.581629531300246 8.3 0.0700758471446079 0.004671094743019
"amont" 177 "177_fs2" 41.5 0.464218228023519 8.3 0.0559299069907854 -0.00170433013901476
"amont" 177 "177_fs2" 49.8 0.527839631861118 8.3 0.0635951363688094 0.000923521611810114
"amont" 177 "177_fs2" 58.1 0.513752887722233 8.3 0.0618979382797871 -0.000204481697472563
"amont" 177 "177_fs2" 66.4 0.464235318015659 8.3 0.0559319660259829 -0.00071879183780773
"amont" 177 "177_fs2" 74.7 0.503597803972702 8.3 0.0606744342135786 0.000571381709348876
"amont" 177 "177_fs2" 83 0.527733544589701 8.3 0.0635823547698435 0.000350351874248783
"amont" 177 "177_fs2" 91.3 0.393224171130198 8.30000000000001 0.0473764061602648 -0.0019525239288649
"amont" 177 "177_fs2" 99.6 0.446873029519553 8.29999999999998 0.0538401240385004 0.000778761190148874
"amont" 177 "177_fs2" 107.9 0.324844767437681 8.3 0.0391379237876724 -0.00177134942781061
"amont" 177 "177_fs3" 8.3 0 NA NA NA
"amont" 177 "177_fs3" 16.6 0.446115069979628 8.3 0.0537488036120034 NA
"amont" 177 "177_fs3" 24.9 0.383013945650359 8.3 0.0461462585120915 -0.000915969289146008
"amont" 177 "177_fs3" 33.2 0.914559015533768 8.3 0.11018783319684 0.00771585237165638
"amont" 177 "177_fs3" 41.5 1.03057052065794 8.3 0.124165122970836 0.00168401081614412
"amont" 177 "177_fs3" 49.8 0.472502008992116 8.3 0.0569279528906163 -0.00810086386508668
"amont" 177 "177_fs3" 58.1 0.755929751467986 8.3 0.0910758736708416 0.0041142073229187
"amont" 177 "177_fs3" 66.4 0.483798875814316 8.3 0.0582890211824477 -0.00395022319137276
"amont" 177 "177_fs3" 74.7 0.608172054035985 8.3 0.0732737414501188 0.00180538798405676
"amont" 177 "177_fs3" 83 0.592783184755569 8.3 0.071419660813924 -0.000223383209180086
"amont" 177 "177_fs3" 91.3 0.651972420344935 8.30000000000001 0.0785508940174619 0.000859184723317819
"amont" 177 "177_fs3" 99.6 0.508475983106496 8.29999999999998 0.061262166639337 -0.00208297920218374
