"ID" "treatment" "Distance cumulated" "Latency to externe zone" "Time spent in external zone" "Latency to transition zone" "Time spent in transition zone" "Time spent in centre zone" "Acceleration Variance" "Mobility Variance" "Cumulated difference of Curvature angle" "Cumulated difference of Head center angle" "Cumulated difference of Center tail" "Variance of difference of Curvature angle" "Variance of difference of Head center angle" "Variance of difference of Center tail" "pool" "origin_treatment" "weight" "height"
"203" "Amont" 153.139 116.353 61.2221 115.554 0.2664 38.4615 176.18 5.57459 21987.0016105471 20550.8258156021 15248.8480659892 33.8722337202338 144.941487094125 147.390046583092 "Cauterets" "Cauterets.Amont" 3.879 74.81
"204" "Amont" 556.406 76.5399 68.1985 5.64557 28.6047 3.11355 251.711 95.2567 18542.2231312153 16815.5460568552 12236.4072544271 11.8720345710476 32.0682441286579 29.7328648829843 "Cauterets" "Cauterets.Amont" 3.477 71.741
"205" "Amont" 759.031 0.149855 55.735 120.084 2.84668 41.3684 12197.6 110.68 17988.499727318 17244.9483554534 12832.2695325338 9.22489870205607 20.8914127736249 20.8144297413892 "Cauterets" "Cauterets.Amont" 1.59 55.708
"206" "Amont" 1685.15 97.1063 62.9932 93.2101 5.31047 31.6298 885.039 217.338 29808.6422020408 29876.8190239968 29873.328318421 44.7101907340289 71.8504898055178 58.3936929580433 "Cauterets" "Cauterets.Amont" 1.613 57.339
"207" "Amont" 2819.44 0 95.6051 63.3926 2.97986 1.41502 32843.9 112.767 26782.4552700682 279596.38343513 275673.77423261 115.834655675213 5375.07008977473 5647.50724288176 "Cauterets" "Cauterets.Amont" 4.211 78.432
"208" "Amont" 73.5938 0 100 NA 0 0 36.5109 1.60182 47699.1980230352 32775.5190153083 20382.9638694224 81.1868263416305 22.5653906875285 18.2268995858585 "Cauterets" "Cauterets.Amont" 3.479 73.283
"209" "Amont" 1265.78 77.9267 70.7341 77.2273 3.0298 26.2361 37489.3 209.237 16121.0103348574 52487.4339061284 53060.6922793618 27.0297569413229 1143.6717670575 1236.21009990952 "Lees Athas" "Lees Athas.Amont" 13.26 111.727
"210" "Amont" 2520.81 74.5861 66.9053 74.1864 6.55902 26.4358 4678.46 144.374 33010.8919682174 29488.6964111869 31260.8835094038 43.2790299084031 108.942284425673 90.8591229139377 "Lees Athas" "Lees Athas.Amont" 5.192 80.728
"211" "Amont" 986.988 1.44893 98.9677 1.19912 0.366301 0.38295 7292.77 50.6464 18849.2646630615 14774.8968319146 13436.283356233 50.0693138394909 38.9253683347842 38.9280223611713 "Lees Athas" "Lees Athas.Amont" 13.19 112.687
"212" "Amont" 717.563 0.199852 83.9161 0.149889 0.34965 15.701 19669.3 84.907 17942.1541633163 37319.7396294612 34557.5324795014 176.455070004563 673.953682157722 687.68882722597 "Lees Athas" "Lees Athas.Amont" 8.734 102.774
"213" "Amont" 1020 175.621 30.303 0 66.367 3.33 495.271 168.19 17420.6840946855 20757.4905824481 18494.7043296 15.1497389305317 66.4450530990825 66.9562761848071 "Cauterets" "Cauterets.Amont" 1.682 57.469
"214" "Amont" 2711.25 0 96.1205 59.7553 2.4975 1.38195 1401.68 97.576 39321.745104849 35105.8609054905 39179.1786951203 42.4783568891415 61.6009045673093 53.6517478269568 "Cauterets" "Cauterets.Amont" 3.064 67.888
"11" "Aval" 1109.84 170.54 37.8225 169.79 4.26169 57.9158 1085.05 244.65 25544.1672524036 30543.9752506505 27282.0788393103 29.5528760808299 181.471020961267 185.74664830244 "Cauterets" "Cauterets.Aval" 1.033 49.689
"12" "Aval" 774.716 195.714 32.2624 195.364 2.18079 65.5069 674.066 138.407 18853.0790466236 17457.5023908017 13995.4912062292 10.0393236634758 23.5940276107626 21.7595120780325 "Cauterets" "Cauterets.Aval" 1.798 58.275
